Country Code,Country,Year,Preterm,Pertussis,Intrapartum,Sepsis,Tetanus,Congenital,Pneumonia,Diarrhoea,Malaria,Aids,Measles,Injury,Meningitis,Other,Total
GMB,Gambia The,2000,10.9,0.9,11.7,8.5,0.5,4.3,15.8,15.0,7.6,1.7,4.3,4.6,2.3,12.0,100
GEO,Georgia,2000,27.3,0.3,8.1,5.1,0.0,14.9,17.6,3.7,0.0,0.1,0.0,9.0,1.9,11.8,100
DEU,Germany,2000,28.9,0.0,5.2,1.8,0.0,33.4,1.7,0.4,0.0,0.1,0.0,7.0,1.7,19.8,100
GHA,Ghana,2000,10.9,1.0,10.8,6.3,0.7,3.4,11.9,7.7,21.8,3.3,11.2,2.9,1.7,6.5,100
GRC,Greece,2000,41.4,0.0,6.9,1.6,0.0,35.2,2.9,0.0,0.0,0.0,0.0,4.7,1.1,6.2,100
GRD,Grenada,2000,27.8,0.0,22.4,10.9,0.0,2.7,9.2,3.7,0.0,0.0,0.0,8.1,0.0,15.2,100
GTM,Guatemala,2000,12.9,0.4,12.7,7.2,0.0,7.8,22.1,12.6,0.1,0.5,0.0,7.2,2.6,14.0,100
GIN,Guinea,2000,7.6,0.7,8.9,5.5,0.9,2.6,13.1,11.0,21.5,1.6,14.5,2.5,2.4,7.1,100
GNB,Guinea-Bissau,2000,10.6,0.6,9.4,4.8,2.4,3.1,16.4,14.4,13.4,1.7,8.7,3.0,2.9,8.6,100
GUY,Guyana,2000,26.0,0.0,11.6,8.0,0.0,9.7,8.4,12.3,3.2,2.4,0.0,4.7,0.8,13.0,100
HTI,Haiti,2000,10.9,1.3,9.8,4.2,0.6,4.6,23.4,17.2,0.5,4.8,0.0,5.8,4.1,12.7,100
HND,Honduras,2000,19.1,0.5,8.2,5.9,0.4,13.0,15.7,10.0,0.1,4.6,0.0,2.8,1.5,18.1,100
HUN,Hungary,2000,44.7,0.0,4.8,0.3,0.0,23.5,7.1,0.1,0.0,0.0,0.0,6.9,1.2,11.5,100
ISL,Iceland,2000,30.2,0.0,10.7,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,31.8,100
IND,India,2000,17.5,0.2,13.3,7.6,2.3,4.9,19.1,13.4,0.5,0.3,2.9,3.1,2.6,12.2,100
IDN,Indonesia,2000,13.3,0.4,12.5,6.0,0.3,6.8,18.9,10.7,0.5,0.0,8.9,6.1,2.3,13.2,100
IRN,Iran,2000,22.1,0.5,12.5,7.6,0.2,11.7,16.3,8.3,0.0,0.0,0.3,5.7,1.6,13.1,100
IRQ,Iraq,2000,18.6,0.5,14.6,8.6,0.5,9.7,17.0,9.2,0.0,0.0,1.4,6.0,1.5,12.5,100
IRL,Ireland,2000,26.1,0.0,4.2,2.1,0.0,41.7,3.0,0.0,0.0,0.0,0.9,3.2,5.2,13.6,100
ISR,Israel,2000,30.1,0.0,3.9,2.7,0.0,26.3,1.7,0.8,0.0,0.0,0.0,6.4,0.3,27.9,100
ITA,Italy,2000,32.5,0.0,9.1,1.9,0.0,33.5,1.9,0.0,0.0,0.3,0.0,4.2,0.6,16.0,100
JAM,Jamaica,2000,28.7,0.9,11.0,10.8,0.0,17.9,5.4,1.4,0.0,9.8,0.0,2.7,0.4,11.2,100
JPN,Japan,2000,10.5,0.0,5.3,2.3,0.0,40.0,6.7,0.6,0.0,0.0,0.2,12.3,1.1,20.8,100
JOR,Jordan,2000,26.5,0.7,10.2,4.2,1.5,17.7,11.7,4.8,0.0,0.0,0.0,8.6,0.7,13.4,100
KAZ,Kazakhstan,2000,21.9,0.4,10.9,4.1,0.3,11.6,18.1,10.0,0.0,0.1,0.0,6.2,1.9,14.5,100
KEN,Kenya,2000,9.2,1.0,9.9,4.4,0.4,3.9,17.3,11.8,7.2,17.1,1.3,4.2,2.8,9.6,100
KIR,Kiribati,2000,14.7,0.0,13.7,5.4,0.6,8.1,20.3,12.6,0.0,0.0,0.0,5.6,3.1,16.0,100
PRK,Korea DPR,2000,20.1,0.2,11.1,4.2,0.4,7.3,19.3,11.8,0.0,0.0,0.0,5.9,3.5,16.1,100
KOR,Korea Rep,2000,22.0,0.0,5.8,3.8,0.0,23.5,5.7,0.9,0.0,0.0,0.4,16.8,1.6,19.3,100
KWT,Kuwait,2000,23.5,0.1,3.7,1.5,0.0,45.2,6.1,0.4,0.0,0.0,0.0,6.9,0.8,11.8,100
KGZ,Kyrgyzstan,2000,19.3,0.4,11.8,4.3,0.3,11.4,18.4,10.0,0.0,0.1,0.0,6.4,3.1,14.5,100
LAO,Lao PDR,2000,10.0,1.1,12.7,4.4,2.6,3.9,22.2,16.0,1.3,0.0,6.3,5.2,3.4,10.9,100
LVA,Latvia,2000,19.1,0.0,15.6,1.8,0.0,34.1,4.6,0.0,0.0,0.0,0.0,11.7,1.4,11.7,100
LBN,Lebanon,2000,24.5,0.5,9.5,4.7,0.0,22.0,10.7,4.2,0.0,0.1,0.7,8.8,0.7,13.6,100
LSO,Lesotho,2000,10.9,0.9,10.9,4.6,0.7,4.0,15.7,10.8,0.0,25.3,0.9,3.4,2.4,9.4,100
LBR,Liberia,2000,7.8,0.7,7.1,3.4,0.8,2.3,11.7,10.7,25.8,1.5,16.4,2.1,3.1,6.7,100
LBY,Libya,2000,22.7,0.6,10.8,4.2,0.0,19.8,11.0,2.9,0.0,0.0,0.0,10.2,0.8,17.1,100
LTU,Lithuania,2000,13.9,0.0,8.0,2.2,0.0,37.2,8.9,0.3,0.0,0.0,0.0,16.7,2.3,10.4,100
LUX,Luxembourg,2000,19.8,0.0,21.1,1.8,0.0,12.2,0.0,0.0,0.0,0.0,0.0,14.9,7.0,23.1,100
MKD,Macedonia,2000,35.6,0.0,11.0,2.3,0.0,16.6,8.1,8.7,0.0,0.0,0.0,2.9,0.9,13.8,100
MDG,Madagascar,2000,10.8,1.2,9.9,4.1,0.6,3.7,22.5,16.2,2.7,0.6,5.7,5.3,4.1,12.7,100
MWI,Malawi,2000,7.5,0.6,7.0,3.8,0.3,2.9,16.2,13.9,15.7,14.6,0.2,3.1,3.9,10.3,100
MYS,Malaysia,2000,22.3,1.8,9.1,3.5,1.0,28.0,8.6,3.0,0.2,0.8,0.0,6.5,1.4,13.9,100
MDV,Maldives,2000,26.8,0.4,8.5,6.7,0.1,13.4,16.2,5.3,0.0,0.0,0.0,4.5,1.2,16.9,100
MLI,Mali,2000,9.5,0.5,7.5,4.0,2.2,2.9,16.0,15.8,23.4,1.2,3.1,2.6,3.0,8.3,100
MLT,Malta,2000,36.6,0.0,6.7,3.1,0.0,20.6,1.5,0.0,0.0,0.0,0.0,4.8,5.2,21.5,100
MHL,Marshall Islands,2000,18.5,0.0,12.4,5.6,0.3,11.0,17.4,10.8,0.0,0.0,0.0,6.3,2.1,15.6,100
MRT,Mauritania,2000,17.4,1.1,9.4,5.8,1.4,3.4,19.0,14.1,3.7,1.0,5.5,4.3,2.8,11.0,100
MUS,Mauritius,2000,40.4,0.0,9.8,4.4,0.0,21.3,3.9,1.6,0.0,0.0,0.0,6.9,1.6,10.1,100
MEX,Mexico,2000,15.9,0.0,6.7,4.9,0.0,19.3,16.3,7.8,0.0,0.2,0.0,9.5,1.6,17.7,100
MDA,Moldova,2000,5.9,0.0,13.5,8.2,0.0,25.7,26.3,1.4,0.0,0.0,0.0,10.4,1.7,7.0,100
MCO,Monaco,2000,38.8,0.0,13.0,4.0,0.0,32.4,0.4,0.0,0.0,0.0,0.0,0.5,0.0,10.8,100
MNG,Mongolia,2000,19.0,0.3,10.8,4.1,0.3,8.4,19.6,12.2,0.0,0.0,0.6,6.2,2.7,15.8,100
MNE,Montenegro,2000,28.5,0.0,32.4,2.7,0.0,12.9,2.5,1.2,0.0,0.0,0.0,4.0,0.0,15.8,100
MAR,Morocco,2000,19.8,0.4,14.1,9.6,0.7,8.9,17.2,9.5,0.0,0.1,0.2,5.2,2.1,12.2,100
MOZ,Mozambique,2000,8.7,0.6,8.4,4.8,0.8,2.5,12.8,10.8,27.1,7.2,3.6,2.4,2.9,7.4,100
MMR,Myanmar,2000,17.4,0.2,13.4,6.4,1.0,4.9,19.0,12.0,1.1,0.5,1.6,5.6,3.8,13.1,100
NAM,Namibia,2000,10.0,1.5,8.0,3.4,0.2,4.1,15.1,9.5,2.3,29.9,0.1,4.1,1.8,10.0,100
NRU,Nauru,2000,22.1,0.0,13.9,6.5,0.5,10.9,16.4,8.9,0.0,0.0,0.0,5.3,1.7,13.8,100
NPL,Nepal,2000,12.4,1.4,14.6,8.6,1.7,5.0,19.0,10.9,0.0,0.1,8.7,4.8,3.0,9.6,100
NLD,Netherlands,2000,21.2,0.0,11.8,3.3,0.0,35.6,2.3,0.0,0.0,0.0,0.0,5.8,2.9,17.2,100
NZL,New Zealand,2000,22.4,0.4,6.4,1.1,0.0,28.8,5.7,0.4,0.0,0.0,0.0,12.2,4.2,18.4,100
NIC,Nicaragua,2000,18.2,0.5,8.3,3.8,0.5,12.0,18.0,15.5,0.1,1.0,0.0,3.5,1.7,17.1,100
NER,Niger,2000,6.7,0.6,7.0,3.3,1.0,3.0,20.6,20.7,10.9,0.7,5.1,3.4,7.0,10.0,100
NGA,Nigeria,2000,7.3,0.7,8.9,3.0,1.8,2.8,14.3,13.0,19.4,2.4,14.4,2.6,2.1,7.4,100
NIU,Niue,2000,4.8,0.0,2.6,0.0,0.0,21.4,20.9,4.0,0.0,0.0,0.0,13.6,4.2,28.6,100
NOR,Norway,2000,12.3,0.0,10.1,1.1,0.0,37.1,3.4,0.5,0.0,0.0,0.0,6.2,5.0,24.5,100
OMN,Oman,2000,18.1,1.0,8.3,2.8,0.0,25.2,11.1,2.2,0.0,0.4,0.0,9.4,0.9,20.7,100
PAK,Pakistan,2000,15.5,1.2,15.3,8.7,5.3,4.2,18.9,12.7,0.2,0.0,0.8,5.0,2.4,9.8,100
PLW,Palau,2000,26.3,0.0,8.3,6.1,0.0,18.1,9.6,1.8,0.0,0.0,0.0,13.9,2.2,13.6,100
PAN,Panama,2000,20.4,0.0,8.2,6.2,0.0,27.3,9.8,4.7,0.0,0.7,0.0,3.2,1.6,17.9,100
PNG,Papua New Guinea,2000,13.7,1.2,11.6,5.0,0.8,4.9,15.5,9.1,12.9,1.4,7.7,4.2,2.4,9.7,100
PRY,Paraguay,2000,22.5,3.3,7.8,7.1,1.3,14.7,14.3,9.3,0.0,0.3,0.0,5.3,1.3,12.8,100
PER,Peru,2000,17.1,0.5,7.3,4.7,0.8,13.8,16.6,8.6,0.0,1.2,0.0,8.3,2.5,18.5,100
PHL,Philippines,2000,16.4,3.1,11.4,5.1,0.3,8.0,21.4,11.7,0.1,0.0,0.1,6.9,2.7,12.8,100
POL,Poland,2000,25.9,0.0,9.2,5.8,0.0,36.3,5.0,0.2,0.0,0.0,0.0,6.1,1.1,10.4,100
PRT,Portugal,2000,18.3,0.1,6.4,2.4,0.0,31.5,3.7,0.2,0.2,0.2,0.0,9.5,4.4,23.0,100
QAT,Qatar,2000,25.0,0.7,9.1,2.6,0.0,25.5,5.2,0.8,0.0,0.1,0.0,9.8,0.8,20.3,100
ROU,Romania,2000,20.3,0.0,5.6,0.9,0.0,19.6,31.1,2.3,0.0,0.1,0.0,8.1,2.5,9.4,100
RUS,Russian Federation,2000,24.8,0.4,7.4,5.0,0.0,21.0,13.8,1.8,0.0,1.0,0.0,9.0,2.1,13.7,100
RWA,Rwanda,2000,7.5,0.8,9.4,4.5,0.6,3.7,20.8,18.4,5.7,4.9,1.1,4.0,7.1,11.6,100
KNA,Saint Kitts & Nevis,2000,35.1,0.0,19.1,3.7,0.0,12.3,2.6,2.6,0.0,0.0,0.0,1.7,0.0,23.0,100
LCA,Saint Lucia,2000,30.9,0.0,10.4,10.5,0.0,13.7,4.0,2.3,0.0,2.2,0.0,5.7,0.8,19.6,100
WSM,Samoa,2000,24.2,0.9,7.4,5.3,0.0,21.9,13.2,4.7,0.0,0.0,0.0,7.2,1.5,13.7,100
SMR,San Marino,2000,3.3,0.0,4.1,0.0,0.0,30.5,5.2,0.2,0.0,0.0,0.0,18.8,3.0,34.9,100
STP,Sao Tome & Principe,2000,12.2,0.2,9.2,4.3,0.3,4.8,16.6,11.5,20.7,1.8,0.2,4.3,2.6,11.4,100
SAU,Saudi Arabia,2000,22.9,0.8,10.4,3.9,0.0,21.4,9.8,2.6,0.0,0.0,0.1,9.0,0.8,18.3,100
SEN,Senegal,2000,11.0,0.9,8.8,5.3,0.7,3.5,18.6,14.9,8.3,0.4,7.9,4.0,4.7,11.1,100
SRB,Serbia,2000,31.2,0.0,16.4,4.7,0.0,26.4,5.4,0.9,0.0,0.3,0.0,4.8,1.4,8.5,100
SYC,Seychelles,2000,27.3,0.0,9.4,6.3,0.0,25.3,6.6,1.2,0.0,0.0,0.0,8.3,1.0,14.8,100
SLE,Sierra Leone,2000,7.0,0.5,5.6,3.0,1.0,2.5,12.8,13.6,26.0,0.5,15.8,2.0,2.6,7.1,100
SGP,Singapore,2000,20.3,0.0,3.6,1.7,0.0,33.1,8.8,0.0,0.0,0.0,0.0,6.3,4.0,22.1,100
SVK,Slovakia,2000,31.4,0.0,4.9,1.5,0.0,27.9,11.4,1.3,0.0,0.0,0.0,5.2,1.5,15.0,100
SVN,Slovenia,2000,32.2,0.0,7.9,4.9,0.0,38.6,0.0,0.0,0.0,0.0,0.0,6.6,0.0,9.8,100
SLB,Solomon Islands,2000,13.5,2.9,12.3,6.5,0.2,9.7,16.4,7.7,12.1,0.0,0.0,5.6,2.9,10.2,100
SOM,Somalia,2000,7.4,0.7,8.2,2.9,1.7,2.8,17.7,15.7,1.1,0.4,26.2,3.3,3.9,8.1,100
ZAF,South Africa,2000,9.5,0.2,5.7,2.7,0.0,4.8,14.6,11.7,0.2,28.5,0.6,5.0,1.3,15.1,100
SSD,South Sudan,2000,8.5,1.1,10.9,3.2,4.8,3.3,18.8,15.9,12.8,1.5,3.4,3.3,4.4,8.1,100
ESP,Spain,2000,22.8,0.1,8.0,5.2,0.0,34.9,2.0,0.2,0.0,0.1,0.0,5.5,2.9,18.4,100
LKA,Sri Lanka,2000,22.8,0.6,8.4,4.0,0.5,23.6,10.1,4.1,0.3,0.0,0.0,6.1,0.9,18.6,100
VCT,St Vincent & the Grenadines,2000,35.8,0.0,11.2,3.5,0.0,16.1,3.3,3.4,0.0,3.2,0.0,6.8,1.1,15.8,100
SDN,Sudan,2000,13.3,1.2,9.8,5.1,0.8,3.6,21.1,15.0,2.2,0.1,5.6,5.1,5.0,12.1,100
SUR,Suriname,2000,20.9,0.0,7.9,14.7,0.0,12.2,8.2,6.6,3.0,1.2,0.0,8.2,2.1,15.0,100
SWZ,Swaziland,2000,6.8,0.8,6.0,2.3,0.1,4.3,15.9,12.3,0.0,35.2,0.0,3.6,2.0,10.5,100
SWE,Sweden,2000,16.5,0.4,9.0,4.8,0.0,45.1,1.8,0.0,0.0,0.0,0.0,4.2,1.3,16.9,100
CHE,Switzerland,2000,25.8,0.0,8.1,2.7,0.0,30.9,1.5,0.3,0.0,0.0,0.0,8.0,2.0,20.6,100
SYR,Syria,2000,22.6,0.9,10.9,3.6,0.6,20.7,14.4,9.5,0.0,0.0,0.1,4.2,0.6,11.8,100
TJK,Tajikistan,2000,13.8,0.2,10.1,3.9,0.5,5.5,22.6,15.5,0.0,0.3,0.0,6.0,4.5,17.0,100
TZA,Tanzania,2000,7.9,0.8,9.2,4.5,0.4,3.3,18.0,13.6,12.7,9.9,2.0,3.9,3.6,10.2,100
THA,Thailand,2000,23.3,0.4,8.1,5.6,0.4,20.4,13.0,4.8,1.0,3.5,0.2,4.6,1.1,13.4,100
TLS,Timor Leste,2000,12.3,0.9,11.1,4.3,1.5,3.6,22.5,16.1,7.2,0.0,0.0,5.5,3.3,11.7,100
TGO,Togo,2000,9.3,0.9,9.1,4.9,0.7,2.8,11.8,8.4,26.9,4.0,10.2,2.5,2.1,6.3,100
TON,Tonga,2000,19.5,0.0,6.0,4.6,0.0,23.6,12.8,4.9,0.0,0.0,0.0,8.9,1.7,18.0,100
TTO,Trinidad & Tobago,2000,37.5,0.0,26.6,2.8,0.0,12.6,3.2,1.0,0.0,3.0,0.0,2.5,1.2,9.7,100
TUN,Tunisia,2000,24.6,0.3,11.5,3.4,1.3,17.7,15.2,5.5,0.0,0.0,0.0,4.9,0.7,14.9,100
TUR,Turkey,2000,24.0,0.0,7.2,3.9,0.0,24.7,8.1,1.0,0.0,0.0,0.0,3.3,0.7,27.1,100
TKM,Turkmenistan,2000,16.3,0.2,10.4,3.7,0.4,7.6,21.1,14.3,0.0,0.0,0.0,6.0,2.8,17.2,100
TUV,Tuvalu,2000,26.5,0.0,11.3,4.7,0.0,13.0,17.9,6.0,0.0,0.0,0.0,6.3,1.5,12.7,100
UGA,Uganda,2000,7.5,0.8,7.4,3.5,0.3,2.6,13.2,10.1,27.2,7.5,7.0,2.8,2.7,7.3,100
UKR,Ukraine,2000,25.8,0.5,7.9,4.0,0.0,22.8,14.7,2.0,0.0,3.7,0.2,6.5,1.6,10.5,100
ARE,United Arab Emirates,2000,25.2,0.9,9.0,2.2,0.0,26.3,5.4,0.8,0.0,0.0,0.0,8.7,0.8,20.7,100
GBR,United Kingdom,2000,35.0,0.1,6.2,2.7,0.0,23.7,4.1,1.3,0.0,0.1,0.0,5.0,3.0,18.9,100
USA,United States of America,2000,27.4,0.0,4.8,2.7,0.0,25.3,3.1,2.0,0.0,0.1,0.0,11.4,0.9,22.2,100
URY,Uruguay,2000,21.9,0.0,7.4,6.5,0.0,26.0,8.8,3.1,0.0,0.4,0.0,7.4,1.2,17.2,100
UZB,Uzbekistan,2000,19.6,0.3,12.2,4.5,0.5,9.2,18.7,11.0,0.0,0.2,0.0,5.3,2.9,15.6,100
VUT,Vanuatu,2000,17.4,1.8,8.3,2.9,0.7,15.7,15.6,15.6,7.9,0.0,0.0,5.2,1.4,7.7,100
VEN,Venezuela,2000,25.2,0.5,9.0,9.7,0.0,14.9,8.1,10.4,0.1,0.2,0.0,6.5,1.9,13.5,100
VNM,Vietnam,2000,18.0,0.2,6.7,3.4,0.4,15.1,19.2,13.9,0.2,0.2,6.7,3.4,1.5,11.1,100
YEM,Yemen,2000,14.2,1.2,9.8,6.2,1.3,3.7,21.9,14.8,1.2,0.0,5.2,5.6,3.0,11.8,100
ZMB,Zambia,2000,6.8,0.6,7.7,3.8,0.3,3.0,16.5,14.4,15.0,11.2,4.8,3.3,2.8,9.8,100
ZWE,Zimbabwe,2000,7.7,0.2,6.7,2.7,0.2,3.3,12.3,8.7,3.4,41.2,0.3,2.9,1.9,8.6,100
